,sampateny,lettre
antafika,"mampiantafika, mifampiantafika",A
antafika,iantafihana,A
antaha,miantaha,A
antanona,"anantanonana, antanonina",A
antanona,"fanantanona, manantanona",A
antara,,A
antefa,"anantefana, antefaina, manantefa",A
antefa,"fiantefa, iantefana, miantefa, mpiantefa",A
antehitra,"fianteherana, fiantehitra, ianteherana, miantehitra, mpiantehitra",A
antena,"mampanantena, mampifanantena, manantena, mifanantena",A
antena,"ampanantenaina, anantenana, antenaina, antenantena, fampanantenana, fanantena, fanantenana, mamantena, mpanantena, voaantena",A
antetse,mihaantetse,A
antika,,A
antika,antikantika,A
antima,antimatima,A
antimo,mañantimo,A
antinana,mañantiñana,A
antitra,"ananterana, ifananterana",A
antitra,"anterina, antitrantitra, fahanterana, konantitra, manantitra, miantitra, mifanantitra, mihaantitra, mihantitra",A
antitrantitra,"antitranterina, fanantitranterana, manantitrantitra",A
antoana,anantoanana,A
antoana,"antoanina, fanantoanana, fiantoanana, iantoanana, manantoana, miantoana, voantoana",A
antoandro,"antoandrotoandro, antoantoandro, manantoandro, miantoandro",A
antody,antohina,A
antoka,miantoka,A
antoka,"fiantohana, fiantoka, iantohana, miantoka, mpiantoka, voaantoka",A
antoka,"anantohana, manantoka",A
antoke,"aantoke, mahaantoke, mamantoke, mampiantoke, miantoke, mifampiantoke, mihamiantoke, piantoke, voaantoke",A
antomotra,"anantomorana, antomorina, fanantomorana, fanantomotra, manantomotra, miantomotra, mpanantomotra, voantomotra",A
antonta,"iantontana, miantonta",A
antoraka,miantoraka,A
antra,"antrantra, fahantrana, fiantra, fiantrana, iantrana, mahantra, mampiantra, miantra, mifampiantra, mpiantra",A
antsa,"anantsana, antsaina, antsaina, antsavina, fañatsana, manantsa",A
antsa,"fahantsa, mampahantsa, mihamahantsa",A
antsa,"ampiantsa, fampiantsa, fiantsa, fiantsana, fifampiantsa, iantsana, kiantsa, mahaantsa, mahantsa, mampiantsa, miantsa, mifampiantsa, mpiantsa, piantsa, pifampiantsa, voaantsa, voantsa",A
antsafa,"mampanantsafa, mampifanantsafa, mifanantsafa",A
antsafa,"anantsafana, antsafaina, fanantsafa, fanantsafana, fifanantsafana, mahantsafa, manantsafa, mpanantsafa, voantsafa",A
antsaky,antsakina,A
antsaly,antsalina,A
antsambo,miantsambo,A
antsambotra,"antsamborina, mampiantsambotra, mifampiantsambotra",A
antsambotra,"fiantsamborana, fiantsambotra, iantsamborana, mahantsambotra, miantsambotra, mpiantsambotra, tafantsambotra",A
antsampy,"mampiantsampy, mifampiantsampy",A
antsampy,"fiantsampazana, fiantsampy, iantsampazana, iantsampiana, mahatsampy, miantsampy, mpiantsampy, tafantsampy",A
antsanga,antsangaina,A
antsanga,"manantsanga, miantsanga",A
antsantsa,,A
antsasaka,fanantsasahana,A
antsasaka,"anantsasahana, antsasahina, fanantsasaka, manantsasaka, mantsasaka, mpanantsasaka, voantsasaka",A
antsavy,mamontsavy,A
antsavily,"fiantsavily, fiantsaviliana, iantsaviliana, miantsavily, mpiantsavily",A
antsinanana,"fiantsinanana, fiantsinananana, iantsinananana, miantsinanana, mpiantsinanana",A
antsiraka,tantsiraka,A
antso,"fanantso, mampiantso",A
antso,"ampanantsoana, antsoantso, antsoina, antsovina, fiantso, fiantsoana, iantsoana, iantsovana, mahantso, miantso, mifampiantso, mpiantso, voantso",A
antsoantso,"antsoantsoina, fiantsoantso, fiantsoantsoana, iantsoantsoana, miantsoantso, mpiantsoantso",A
antsody,anantsodiavana,A
antsody,"anantsodiana, antsodina, fanantsody, fanantsodiana, manantsody, mpanantsody, voantsody",A
antsohara,"anantsoharana, antsoharaina, fanantsohara, fanantsoharana, manantsohara, mpanantsohara",A
antsona,"antsonaina, tafantsona",A
antsona,"aantsona, anantsonana, antsonina, fanantsona, fanantsonana, fiantsona, fiantsonana, iantsonana, manantsona, miantsona, mpanantsona, mpiantsona, voantsona",A
antsona,"anantsonana, antsonina, manantsona",A
antsonantsoña,manantsoñantsoña,A
antsontsana,"anantsontsanana, manantsontsana",A
antsory,"anantsoriana, antsorina, voantsory",A
antsoro,,A
antsoroka,antsorohina,A
antsorona,"anantsorona, anantsoronana, antsoronina, fanantsoronana, fiantsoroana, fiantsorona, iantsoroana, manantsorona, miantsorona, mpanantsorona, mpiantsorona",A
ao,mankao,A
aody,ampaody,A
aole,mañaole,A
aoriana,"aoriandriana, fiaoriana, fiaorianana, iaorianana, mahaoriana, miaoriana, mpiaoriana",A
aotra,mpiaotra,A
aotra,miaotra,A
apana,apanapana,A
apanapana,"aapanapana, fiapanapana, fiapanapanana, iapanapanana, mahapanapana, miapanapana, mpiapanapana, tafapanapana",A
apoka,apokapoka,A
apoka,"fiapohana, fiapoka, iapohana, miapoka, mpiapoka, tafapoka",A
apokapoka,miapokapoka,A
ara,"ampañara, fampañara, fañara, mampañara, manara, pañara",A
ara,"arana, miara",A
ara,arana,A
arahaba,"ampiarahaba, arahabaina, fampiarahaba, fiarahaba, fiarahabana, fifampiarahaba, fifampiarahabana, ifampiarahabana, maharahaba, mampiarahaba, miarahaba, mifampiarahaba, mpiarahaba, piarahaba, pifampiarahaba, voarahaba",A
araka,"arakaraka, fifanarahana, iarahana, iarahana, ifanarahana",A
araka,"ampanarahina, ampiarahana, ampiarahina, anarahana, arahina, fampifanarahana, fanarahana, fanaraka, fiarahana, fiaraka, maharaka, mampanaraka, mampifanaraka, manaraka, miaraka, mifanaraka, mpanaraka, mpiaraka, tafaraka, tafiaraka, voaraka",A
araka,"fampanarahana, fampiarahana",A
arakaly,mañarakaly,A
arakaraka,mifanarakaraka,A
arake,"aarake, ampiarake, ampiarake, faarake, fañarake, fiarake, maharake, mampañarake, mampiarake, mampifañarake, mañarake, mifampañarake, mifañarake, mihamiarake, pañarake, piarake, pifañarake, tafarake, voaarake",A
arana,"mampanarana, mampifanarana, mifanarana",A
arana,"anaranana, aranana, aranina, fanarana, fanaranana, fiarana, fiaranana, iaranana, manarana, miarana, mpanarana, mpiarana, voarana",A
are,"aare, fahamarina, mahaare, mampañare, miare, mifampiare, mifañare, mihamiare, pañare, piare, pifañare",A
arery,hareriana,A
ary,"anariana, ariana, ariarina, arikitra, fanary, fanary, fanariana, iariana, miary, voary, voary",A
ary,"ahariana, fahary, fahariana, mahary, Mpahary",A
ary,mankarỳ,A
ary,"manary, mifanary, mpanary",A
aria,fañaria,A
arike,"mahamarike, mamparike, mifampimarike, mimarike, voamarike",A
arina,"anaremana, fanamarinana, iaremana, mahamarina, mampanarina, mampifanarina, marina, mifanarina",A
arina,"ampiarenana, anarenana, arenina, arinarina, fanaremana, fanarenana, fanarina, fiaremana, fiarenana, fiarina, iarenana, maharina, manamarina, manarina, miarina, mpanarina, mpiarina, tafarina, voarina",A
arinarina,"kinarinarina, miarinarina",A
arira,"anarirana, ariraina, fanarira, fanarirana, fiarira, fiarirana, iarirana, maharira, manarira, miarira, mpanarira, mpiarira, voarira",A
aritra,"anaretana, fanaritra, iaretrana, mampanaritra, mihamanaritra",A
aritra,"aharetana, aretina, aritraritra, faharetana, fiaretana, fiaritra, iaretana, maharitra, miaritra, mpiaritra",A
aritra,"fanaretana, manaritra",A
aritraritra,maharitraritra,A
arivo,"ampañarivo, arivoarivo, faharivo, inarivo, mahapañarivo, mampañarivo, manarivo, mpanarivo, tsiarivoarivo",A
aro,"aromby, pañaro",A
aro,"aaro, arovana, faaro, fiaro, fiarovana, iarovana, maharo, mampiaro, miaro, mifampiaro, mpiaro, piaro, pifampiaro, voaro",A
aroa,aroakatra,A
aroa,"mankaroa, mbaroa",A
aroy,mbaroy,A
asa,"ampiasaina, ampiasana, asaina, asaina, fanasa, fanasa, fanasana, hiasa, mampiasa, mampifanasa, manasa, manasa, miasa, miasa, mifanasa, mpampiasa, voasa",A
asa,"ampiasa, asaina, fampiasa, fampiasana, fiasana, iasana, mahaasa, mahasa, mihamiasa, mpiasa, pampiasa, piasa, voasa",A
asa,"anasana, voasa",A
asa,anasana,A
asaha,"asahaina, fanasaha, mahasaha, manasaha, mañasaka",A
asara,,A
asy,iasiana,A
asy,miasy,A
asidra,asidraina,A
atatra,"fiatarana, fiatatra, iatarana, miatatra, mpiatatra",A
aty,mankaty,A
aty,"anaty, mbaty",A
aty,anaty,A
atiaty,"fiatiaty, fiatiatiana, iatiatiana, miatiaty",A
atikatika,miatikatika,A
atike,"mañatike, mbatike",A
atitra,"anaterana, aterana, aterina, fanaterana, fanatitra, mahatitra, manatitra, miatitra, mpanatitra, voatitra",A
atitse,"fañatitse, mañatitse, pañatitse",A
ato,"aoina, iatona, mañato, voato",A
ato,"mankato, mbato, tato",A
ato,"aato, atoato, atoina, famato, fampiato, fampiatoana, fiato, fiatoana, iatoana, mampiato, miato, mpiato",A
atoa,"anatoavana, atoavina, fanatoa, fanatoavana, manatoa, mpanatoa",A
atoato,"fiatoato, fiatoatoana, iatoatoana, miatoato, mpiatoato",A
atody,"atodibe, atodintariana, mampanatody",A
atody,"anatodizana, atodizana, fanatody, fanatodizana, manatody, mpanatody",A
atoy,mbatoy,A
atoka,"aatoka, atokatoka, fatohana, fiatohana, fiatoka, mahatoka, manatoka, miatoka, mpiatoka",A
atokatoka,aatokatoka,A
atoly,"mampañatoly, mañatoly, pañatoly",A
atra,manatra,A
atrana,"atranatrana, atranina, atrefina, voatrana",A
atrana,"aatrana, anatranana, fiatrana, fiatranana, iatranana, miatrana, mpiatrana",A
atrika,"anatrehana, anatrehana, iatrehana",A
atrika,"anatrika, atrehina, atrikatrika, fanatrehana, fanatrika, fiatrehana, fifanatrehana, ifanatrehana, mahatrika, mampanatrika, mampifanatrika, manatrika, miatrika, mpanatrika, sokatrika, voaatrika",A
atsa,"miatsa, mpiatsa",A
atse,"fiatse, mampiatse, miatse, piatse",A
atsy,mankatsy,A
atsike,"mahaatsike, mampañatsike, mampifañatsike, miatseke, mifampañatsike, mifañatsike, mihaatsike, pañatsike, piatsike",A
atsimo,"anatsimo, atsimotsimo, atsinomina, fanatsimo, fanatsinomana, manatsimo, mpanatsimo",A
atsinanana,"ahatsinanana, anatsinananana, antsinanana, atsinanananana, atsinananina, fanatsinanana, fanatsinananana, manatsinanana, mpanatsinanana",A
ava,"aava, ampiava, avaina, avana, faava, fampiava, fiava, iavana, mahava, mampiava, miava, mpiava, piava, voava",A
ava,anava,A
avaka,"ampiavahana, avakavaka",A
avaka,"anavahana, avahana, fanavahana, fanavaka, fiavaka, iavahana, mahavaka, mampiavaka, manavaka, miavaka, mpanavaka, mpiavaka, voaavaka, voavaka",A
avakavaka,fanavakavahana,A
avake,"faavake, kiavake, mahaavake, mampañavake, mampiavake, miavake, mifañavake, mihamiavake, pañavake, piavake, pifañavake, voaavake",A
avana,"avanavana, avanavana",A
avana,mavana,A
avanavana,manavanavana,A
avaratra,"anavaratra, avarabaratra, fianavaratana",A
avaratse,"mañavaratse, tavaratse",A
ave,"mahave, miave",A
avy,"anaviana, fanavy, fanaviana, mampanavy, manavy, mankanavy",A
avy,"ampihaviana, aviavy, fiavy, fiaviana, fihavy, fihaviana, iaviana, ihaviana, miavy, mihavy, mpiavy",A
avina,"mampanavina, mampifanavina, mifanavina",A
avina,"anavenana, avenina, fanavenana, fanavina, mahavina, manavina, mpanavina, voavina",A
avo,"haavo, haavo, mampifanavo, mifanavo",A
avo,"avoavo, havoana, mampiavo, mifampiavo, mihamiavo, piavo, pifampiavo",A
avoana,"anavoanana, avoanina, manavoana",A
avoavo,"anavoavoana, avoavoina, fanavoavo, fanavoavoana, fiavoavo, fiavoavoana, iavoavoana, manavoavo, miavoavo, mpanavoavo, mpiavoavo",A
avoko,,A
avona,"avonavona, iavonavonana",A
avona,"fiavona, fiavonana, iavonana, miavona, mpiavona",A
avonavona,"fiavonavonana, miavonavona",A
avonavona,"fiavonavona, mpiavonavona",A
avosa,"anavosana, avosaina, fanavosa, favosana, fiavosa, fiavosana, iavosana, manavosa, miavosa, mpanavosa, voavosa",A
avotra,"avotana, avotana, fiavotra, manavotra, manavotra, miavotra, miavotra",A
avotra,"aavotra, anavotana, avotravotra, fanavotana, fanavotra, fiavotana, iavotana, mahavotra, mampanavotra, mampiavotra, mampifanavotra, mifampiavotra, mifanavotra, mpanavotra, mpiavotra, voavotra",A
avotra,"fiavotra, voavotra",A
avotry,avota,A
avotse,"aavotse, mahavotse, mampañavotse, mifañavotse, pañavotse, piavotse, pifampañavotse, pifañavotse, voaavotse",A
avovona,"fiavovona, miavovona",A
azary,"azarina, voazary",A
azo,"fiazoa, mihaazo, pahazo, piazo",A
azo,"ahazahoana, ahazoana, ampahazo, fahazahoana, fahazo, fahazoa, fahazoana, fampahazoa, fifankahazoana, fihazo, fihazoana, ihazoana, mahazo, mampahazo, mifankahazo, mpahazo, mpihazo",A
ba,"fiba, mibà, mpiba",B
baba,mibaba,B
babababa,"fibabababa, fibabababana, ibabababana, mampibabababa, mibabababa, mpibabababa, pibabababa",B
babaka,mibabaka,B
babarà,mibabarà,B
babe,"ampibabe, babebabe, fibabe, kibabe, mahababe, mampibabe, mifampibabe, pibabe, pifampibabe, voababe",B
baby,"ababy, babena, babena, babiana, babibaby, binaby, fibabena, fibaby, ibabena, kibabibaby, mahababy, mambaby, mampibaby, miambaby, mibaby, mifampibaby, mpibaby, tambaby, tsibabibaby, voababy",B
babo,"babontany, mampambabo, mifambabo",B
babo,"amaboana, babobabo, baboina, binabo, fahababoana, famabo, famaboana, mahababo, mamabo, mambabo, mifamabo, mpamabo",B
baboka,"babobaboka, mahababoka, mpibaboka",B
baboka,"ababoka, amabohana, fibabohana, fibaboka, ibabohana, mamaboka, mibaboka",B
baboke,"ababoke, fababoke, mampibaboke, mibaboke, pibaboke",B
bada,"fibadabada, mpibadabada",B
bada,"badabada, badana, mibada, voabada",B
badabada,"badabadaina, fibadabadana, ibadabadana, mahabadabada, mibadabada",B
badenina,mahabadenina,B
badiaka,ibadiahana,B
badiaka,"badiabadiaka, badiahina, mibadiaka",B
bado,"anabadoana, badobado, badoina, fanabado, fanabadoana, habadoana, manabado, mpanabado",B
badobado,mibadobado,B
badony,badobadony,B
bae,"abae, mahabae, mihabae",B
bafoka,"abafoka, bafobafoka, fibafohana, fibafoka, ibafohana, mibafoka, mpibafoka",B
baha,"abaha, fabaha, mahabaha, mampibaha, mibaha, mifampibaha, pibaha, pifampibaha, voabaha",B
bahambahana,mibahambahana,B
bahana,ibahanana,B
bahana,"abahana, abahana, bahambahana, bahanina, fibahana, fibahanana, mahabahana, mibahana, mpibahana, tafabahana, voabahana",B
bahana,bahanana,B
bahary,baharia,B
bahimo,mibahimo,B
bay,voabay,B
baibay,baibaizina,B
baibay,"abaibay, ambaibaizana, ibaibaizana, mambaibay, mibaibay",B
baika,"baikabaika, banaika, mampibaika, mifampibaika",B
baikabaika,"abaikabaika, baikabaikaina, fibaikabaika, fibaikabaikana, iabaikabaikèna, ibaikabaikana, mahabaikabaika, mibaikabaika, mpibaikabaika",B
baiko,"abaiko, ahabaikoana, baikobaiko, baikoina, binaiko, fibaiko, fibaikoana, ibaikoana, mahabaiko, mibaiko, mpibaiko, voabaiko",B
bailoka,"abailoka, belohina, beloina, mibailoka",B
baingo,"abaingo, baingoina, fibaingo, mibaingo",B
baingobaingo,"baingobaingoina, mibaingobaingo",B
baingobaingoka,"abaingobaingoka, baingobaingohina",B
baingoka,"baingobaingoka, fibaingoka, mibaingoka",B
baka,"ambakana, hambakana",B
baka,"abaka, anabakana, bakabaka, bakaina, binaka, fanabaka, fanabakana, fibaka, fibakana, ibakana, mahabaka, mambaka, manabaka, mibaka, mpanabaka, sabaka, tafabaka, voabaka",B
bakazina,"ibakazinana, mibakazina",B
bako,"bakobako, mahabako, mihabako",B
bakora,bakorakora,B
bakoraka,bakorakoraka,B
bala,amalabalana,B
bala,"balaina, ibalàna, mibala",B
bala,"balabala, balàna, binala, voabala",B
balabala,"balabalaina, mamalabala",B
balabala,"abalabala, balabalana",B
balangony,balangondangony,B
balelaka,"baleladelaka, mibalelaka",B
baliaka,"abaliaka, baliadiaka, ibaliahana, manabaliaka, mibaliaka",B
balihaoke,"abalihaoke, fibalihaoke, mampibalihaoke, mañabalihaoke, mibalihaoke, pibalihaoke, voabalihaoke",B
balita,balitalita,B
balitalita,mibalitalita,B
baloa,mibaloa,B
bamby,mañabamby,B
baña,"fahabaña, habañana, mambaña",B
bana,"banaina, mahabaña, mihabaña, pibaña",B
bana,banabana,B
banabana,"abanabana, anabanabanana, fanabanabanana, fibanabana, fibanabanana, ibanabanana, mahabanabana, mamanabana, mambanabana, manabanabana, mibanabana, tafabanabana, voabanabana",B
banaika,"banainaika, fibanaika, fibanehana, ibanaihana, ibanehana, mibanaika, mpibanaika",B
banàka,"abanàka, anabanahana, banahina, fanabanahana, fanabanàka, fibanaka, mahabanàka, manabanaka, mibanaka, tafabanaka, voabanaka",B
bandrina,"abandrina, bandribandrina, bandrinina, fibandrina, fibandrinana, ibandrinana, mahabandrina, mibandrina, mpibandrina, voabandrina",B
banga,"anabangana, bangaina, binanga, fanabanga, fanabangana, habangana, mahabanga, mambanga, manabanga, mibanga, mpanabanga, voabanga",B
bango,"ambangony, bagoina, bangobango, mampambango, mifambango",B
bango,mibango,B
bango,"ambangoana, ampibango, anabangoana, bangoina, binango, fambango, fambangoana, fanabango, fanabangoana, fibango, fibangoana, ibangoana, mahabango, mambango, mampibango, manabango, mibango, mpambango, mpanabango, mpibango, pibango, pifampibango, voabango",B
bangoana,"mampibangoana, mifampibangoana",B
bangobango,"anabangobangoana, bangobangoina, fanabangobango, fanabangobangoana, manabangobango, mpanabangobango",B
banjina,"abanjina, banjimbanjina, banjinina, fibanjina, fibanjinana, ibanjinana, mahabanjina, mampibanjina, mibanjina, mifampibanjina, mpibanjina, tafabanjina, voabanjina",B
banty,"manabanty, mibanty, voabanty",B
banty,"anabantiana, bantina, fanabanty, fanabantiana, manabanty, mpanabanty",B
bara,mibara,B
bara,"abara, anabarana, barabara, baraina, barana, fanabara, fanabarana, mahabara, manabara, mibara, voabara",B
barabadebake,"fibarabadebake, mibarabadebake",B
barabay,"abarabay, fibarabay, mamarabay, mampibarabay, mibarabay, pibarabay, voabarabay",B
barabara,mibarabara,B
barabara,mibarabara,B
barada,mibarada,B
baradaka,"abaradaka, baradadradaka, baradahina, fibaradahana, fibaradaka, ibaradahana, mibaradaka, mpibaradaka, tafabaradaka",B
baraingo,"baraingoina, baraingoraingo",B
baraingo,"abaraingo, anabaraingoana, fanabaraingo, fanabaraingoana, fibaraingo, fibaraingoana, ibaraingoana, mahabaraingo, manabaraingo, mibaraingo, voabaraingo",B
baraka,voabaraka,B
barakaika,"abarakaika, ambarakehana, mambarakaika, mibarakaika",B
barake,"abarake, fabarake, mampibarake, mibarake, pibarake, voabarake",B
barara,"abarara, bararaina, fibarara, fibararana, ibararana, mibarara, mpibarara",B
bararaka,fibararaka,B
bararaka,"ibararahana, mibararàka, mibararàka",B
bararaka,"fibararahana, mpibararaka",B
barareoka,"abarareoka, barareodreoka, barareohina, fibarareohana, fibarareoka, ibarareohana, mahabarareoka, mibarareoka, mpibarareoka",B
baratsaike,"abaratsaike, fibaratsaike, mampibaratsaike, mibaratsaike, pibaratsaike, voabaratsaike",B
barazy,"abarazy, fabarazy, mampibarazy, mibarazy, mifampibarazy, pibarazy, pifampibarazy, voabarazy",B
barera,"abarera, anabarerana, barerarera, fanabarera, fanabarerana, fibarera, fibarerana, ibarerana, mahabarera, manabarera, mibarera, mihabarera, mpanabarera, mpibarera, voabarera",B
bareraka,mibareraka,B
bary,baribary,B
bary,"barina, fibary, mampibary, mibary, voabary",B
baribary,"abaribary, fibaribary, fibaribariana, ibaribariana, mampibaribary, mibaribary, mpibaribary, tafabaribary, voabaribary",B
basy,"ambasy, basibasy, kibasibasy, tsibasibasy, tsimbasibasy, voabasy",B
bata,"mampambata, mampibata, mampifambata, mifambata",B
bata,"abata, ambatana, batabata, bataina, binata, fambata, fambatana, fibata, fibatana, ibatana, mahabata, mambata, mibata, mifampibata, mpambata, mpibata, voabata",B
bata,fabata,B
batabata,"batabataina, mibatabata",B
baty,mibaty,B
baty,"mahabaty, mamaty, mampibaty, mibaty, mifamaty, mifampibaty, pibaty, voabaty",B
